genome,scf,scf_no_int_bio
wjaugcInEHJrfuerojnFyFuBycucuBfmGoosrEcAftoBqCasLusAraLHEnotqmFsExEbJKiJLtbJHoGKfaekLItratptjvwJDCtEpakcdyktEyozvBcxgiEH,10.250000,10.270000
wHjagcenEEbwKprtjbHssInyyccoKfudurvlktfKDBBcrrBpntaEGvnqnfkcjyDHIAEqBsncodnzJEfpIxhLmIJjpimDbduwiAmCtFKgzxiLGBKrzvBcxgtK,10.360000,1.230000
BwjagcEobexnAvvjtkuyFDcEycubJEujrpEBxtIqeeaInbKpnufozIrcaopfJnoybInGeyeijnzJiupLraydHEbJycEcdnLzzAzvFnALovmuGkkzvBcxgLFa,10.490000,10.330000
wnjagcozGklonjEIhxxdoqowcBjaoaCuJlJjDKdtjBBwycxyuurdKfqxBBJByooxfGrcaAxKoreDbFtEvobryijAcEKirELmEpCjodyeBovyjLczvBcxgnbm,10.200000,10.090000
wjjagcucqBLxeekiebdfiywBycuuqoyEbjbaHaHAlyrEptviraqdtiymAIslGHyBrzqcqpdcJlywBcAkHpeqIdxEpxeceoourxxGEAfnvACxpjduzvBcxgdt,10.280000,10.050000
wwjagcsfCJLlnsyazHwKoEaqdrBmBcqAtvsHyEyctIKvGyudByuucvsoyDaBbBxpKAwAywckvjEqpxecEdnttacoGrIJxIJEjqraHbiFKjmpyfquJwzxBcvg,10.320000,9.970000
swjagcpohrDEqxJqAofHvfrrbcIpGELxkrlIhLjacAuvuDAJycucdoyIurudoEAycrfdyBwpGBuabGqCcmAzGlpyJqhjIobbDaEldBJjqeBubHwuzBcvxgay,10.620000,1.400000
wcjagcljABuzhomkakcfAfByycubDqurlpjBDuafovkAuGrEIwELCrGtacoxKuEyIbBnyJczeBcbCBbiFmCsuzDnnbCoEzDKgfdCcvKLpBfIEHiBzBcvxgFe,10.350000,10.210000
wAjagcAhhqIKvccDmGozsyyEycuopcufbmBqrKKcwKypkyDwxaBGtcBEIyJxeEsrDIGmqAGkayuBlvsvBBpsJBaaEuaBcxyEvyosHdqKtpfKrwqjzBcvxgHy,10.610000,10.350000
wEjawDgchyEycswpkltnroGGyDcuucftJbjmGdLwEKjentAwqEsmLGKhkamxnaEBnHaqjFaAIGkafkLvdqBtumytvGqEDeuyLKDjKBaeFljrcomzvBcxgBwF,10.230000,10.200000
wzcagcyxLrdziEBprDcGdiCGdkdavwCycyBEuuEueFJssmsEttatyFbCpvucdIrzBbpJADmCxIEescpGArxJmjdLDbGkwwjzoLmuCGvtnvvjEBtLzBcvxgab,10.530000,10.000000
usABwJqwdHorcjoFsLslJsLyycuopcEypyJmLfsAsmEgcJvKIrEIysncrkxEBwDdpIsubtsayzjGDlmDjovyDCJqbbDsxJyjIsCzoeLEjpGzvkAzzBcvxgvg,10.390000,7.890000
wajagceLHzlEblIEHGAqdCAHycuKveurGppIbsualxBoycnAlbwHKEjicCCwKBGbiaxtupkHwrfAjvocmrFtIlmwEmJiEcKbuuoCnGzhKCuxBvmszvBcxgae,10.610000,0.000000
wnzaLmpLuEhftgcvnkHvEcmyycuEuceoDcBJypwyIspAnoeeEJfBtazDtqlpIIhaLClljosrnrwkfICqemyutHlCorFKHuAiDcwpqAJAEnAourAwzvBcxgsb,10.320000,0.000000
wEjagcICfiEjptJvdbkqAlHnyctrospyBurBDjwLucpbLaIvBEenGbjxueferapAvDKEBDjBncfsDDJlGwfkBrdmJsAlJjsxccoqwGLkIsuuzCCzvBcxgfqe,10.530000,10.320000
wjaigcnCbfiHorcJCzviALtyycuGrGFDsAdjmBForaFJvxsxGvLzkwnFmtEwpixtLlzxovbBHumLzsIxzibDqIxoHeiiyzhcnsccabCAKfCHvAFzvBcxgaks,10.590000,0.000000
wEjagcpCajApLtkkkdHpcnyBycuArbuBcpaBbqonAsdwysdaIuEkxGtnmrwfffytErBBtspJqBeeekJBnwuaIBdCssprdsotoJkBcrmlCdfGEwBzvBcxgxhj,10.320000,10.320000
whjagcszCzhvwfhpFuuIywDsycdxKouuctFFtdtFyFqnqnBwuyEDtnwJLrdKAjBteqJAcmapesalaGutabuGBvdkDHCIkkLBdJCCkelifFepzxEzvBcxgmyC,10.310000,7.970000
wzcagcwEjkyIrbbscqxGwkKtcyuuGuaBjjralbbkyCxazGjwHGDkGcEjClecaenxfnAwvvyHtEliEBDzJvDvbmwilqAwAfgiGanpHjbAAIjrxHvzvBcxgfab,10.620000,2.510000
wsjagcIHcqHEIHxAkCJBnBcyycuBJourubBmjyJvcuGkuyretcEsIyllBwDGlBLAekGunuAEFploxmsABttcBvLvakbtawcubvbEDrEHuGxIjlmzvBcxgapE,10.570000,10.520000
DanDwtjaIdxkJgckoGconcdwyctcsvDyqfEvuLbIEmsIIwJGeijborxcwBIBJdBcFAstLnlEnlIJkokEElBrcqoHfrozDhhGHuiJikJLpdvdlDGmzvBcxgap,10.460000,10.320000
wjjagcuvqBKtsHbpwEdpHywbycuuxoyEHebearHijyrEptfvtaDdIvumbbznGlycrzqcipBcJlBzBIohHoeaqDGEsuvqfiGdHzaCoAcDKrykujJjzvBcxgdA,10.480000,0.000000
swjagcwohrJGbaGijClHnujbxzqaLoqmkulrJrnqtEnBuDejycucAoybuBudoExAbrpvyBwpfBuabsDDrELtiurmjLcqzonjcfEadapjHHJudfwnzBcvxgab,10.480000,10.320000
wpjagcjIhcLztleeycjdBKcyDBuIscfrcfeucEteIeuzJjdcnjELcCLpEcpswIJitkAEJwiuyfxArjiasAcHmjlmaByrvIkpqDDiIGnodccuutfzvBcxgAbu,10.390000,10.210000
wFjagczFJyaHLcDJoHsDzjkFxLtiawxvaatayIukcsKlbzArpblucEItDJyjsuFsrFbkocIAKwJawyIIudubHcrsfFdzccxuawmqBjztLCtcalEzvBcxgIec,10.530000,10.290000
