genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wxjagcfdavotAGipEIHozwJyIcuoucBpBuEBcxymbbBqKEBctButBLxBvffpmaBGvJdntraByBpJbJspfufyfvursBvIkblpBBBBbBBscKvBIABwvtBBBgHJ",117.000000,195,0,0,0,119,0,25,0,0
"wGjagchchDDyqcEooDHwHuuADLdKIdmEbxwHrtyLoyeIeIfdfduHmmjCxEJwjwBtAGwbipGLJrdAoakBpDfrcmymoyuEjluBbpKktzBBcBpBrcBuuavwxgzw",114.000000,0,0,0,5,295,0,292,0,0
"wcjapcromKFcrgcEqyebauJcpzmjwfHswoEaduciyAanbGlbjwcqwcrDitGbtDvckbrubvGkmHbzeryBvfycsyuBmcxFsbAorlpByBpABvBmnnuBvBBBFggJ",116.000000,0,0,0,51,17,220,187,0,0
"wzcagcJrymmtDzuBlezBxfyAycufKeywucBIBvfEFBnxxvpbntcvBvbxdapBBBpeJsJaykLCaBsyDkmlayBBBfDramwBvBfBBggmhJFjwdlmkAElmwjjsdab",97.000000,0,95,357,0,0,0,0,0,0
"wzcafkgcmlJiccavHlEzJtzyycuburuGoxItsEqDBxejyyGcbEvEvtvBAEnebcenrlsBpuerevBkBBFBBDLwBByvBBsBBBpABqBkaIBIwfBsvBnavBDvbgab",113.000000,0,17,0,34,17,0,0,0,0
"wzcagcqCKxGzdrmlzsKzvxuyycuJvEfsmDIvvvecKfcxLdrteoBrryyEsqrbqeBulBbBIpoBLpfxprBEqBBbtcukaBbyDoBBEBwBBBBeAtGkBLeBvvBeKgab",112.000000,0,0,64,0,64,20,0,190,16
"wzcagcxKqrtpyIitLobCDcByycueucJybeiByKoKmwdcJaufsmGuoBBDvtarkyaBBpBBEjEwBafBBBvBBBBwjiuBAenwvvBBBBlEmobeHkBrBazvvjzaxgab",113.000000,0,20,0,60,214,0,0,0,0
"wujagcziFvwcytvGyroyttpmmkkLyIuGntmmvxtyczxcqDppmadwJzflBfrAolFxmFmztylzycucBrucBBBBBBBbvBBfbsBBBaeyvBBKLBBBEyuBvDcexgro",116.000000,0,0,0,110,683,0,0,0,0
"wzcagcBvzuByrILcubvuqrqAuBbklraBBDcBBkIBDvfdBDuBkBEuvAoBnEByflBqmBFBBbAFwomlfBbBExbvIwclavvBnBBBBkoByeeGfgDDcluovcHcmgab",116.000000,467,0,0,17,0,0,0,0,0
"wtzagcuqdqEKBywKuqFDcrxxBaGkyumxJGEnIKGKvuotmxEzssJcfwahtsLEKFHlxJCHDnEHfdICrBmjxIBItydtfxBrAHzBrwxvBBypogLoucvfxetwCwJb",103.000000,0,0,0,471,0,0,0,0,0
"wbjagcxdfBjvpqHIvrJqnrzyBuuofBByLeprvJDBBmepbvpEuucvJpBudDsBbBLBFBuxBBEDFBvwqKIBFBoyJqwGmqtBwGBlbIfvEbkbltsxBpegvgnhmkih",111.000000,16,0,0,0,57,0,298,0,0
"wzcagcbBbaLLuqsqtGHCozpycaFlEsyfEnuvnnuqCxBoJqniAEyHrfuJrAGEwflkdIFBBDEtcmtBKpxzvyfDfBdcueEucyBBByBBBuBBrfgubvfzvfglxgab",118.000000,58,0,0,68,562,0,0,0,0
"wAjagcGxJoEJqyaioDzuDlzBycubucFBcpBBBcBvKmBcBvsFxuaBBBucyBBBEgFmBjBGytGLGDGHxgenfJcgrsCGvtevmjGeadEcIhsvaLvILnDKEzrBtBrb",61.000000,8,0,0,468,0,464,0,0,0
"wyjagcBltcvICkkmzkyEnxryycALEauAaLktaLoeduEEAIIkatJsixpotBFDsBwIDKoGowuaCuAJJcjCifGtDrLqdwazaAEaqGEprpuBrxbBBBBBvBraxgaC",116.000000,0,0,0,0,0,0,0,0,0
"wzcagclxzxcfCcHJCyEdafBvycuucDoyElGBKtsLkIfmBJbyGrAtGEirpBJfaEJaBdBBBqvtrBeuBtcBBABBBBBIBpDBBEJGGmxvKpvsKCvBudfovvvIDgab",114.000000,0,15,0,30,0,0,75,34,192
"wzcagclJzxcwCiHzzyEdafBvycuucDoyElGsKtsLkIaLBJByGrAtLEirpBJfaIKaBdBBBavtrBeuBtcBBBybiIBBBpDBBEJuGmxvIpvyKCvBpdfovvvsxgab",115.000000,0,30,0,15,0,0,60,30,45
"wzcagcAwunqjamcEumsvknqcxJsnicfieClbdoCKDnEcclywitaykniLusqAyKbEfllJavAiHAczBryBvfycLtubtbxFsuKorBpBybpBBvBIsKucvBBBBgab",116.000000,6,0,0,187,96,150,72,0,0
"wzjagcBtisjqlCfEjEdlkEApjIvGfjLaxxADqxucqyGbucywBBuuaulqiiExwjdmnqIrwytmHfkJBkbyvazBBDBoaBcqJBBucKmyymbqlpDvBucyvsBbxgzo",116.000000,2,0,0,58,176,0,349,0,0
"wJjagcvErquhDnfsIzBBnslCBpBInJKevvuxysncEBeLrtrGJKnEqdaeqqyIELdLInmyuuclpuurlbDBBvvJBBfgdLpHErCIzqaobvFJqntDznkzvJwsxgxi",113.000000,0,0,0,24,24,0,196,0,0
"wzcagchahDsajvvbHnoyieFDycujxBuevobrItDIaBkafuKnJbplxmbttFKBIprbkBodjaaBBaDcrttBBEuBBvafgEfByIBvAKLKmKmauBaelDnvvvavxgab",112.000000,0,0,0,1,0,0,0,0,0
"wHjagcwjAkDwjaAHKjyKBbdnKCIyxmzycpGxGJucuErbvBbBBByBuBJrBeDByyBmaDIBuuBDvLBBoroGyBBDvByqBBLbEBvqgeHtIBqeBIhbFgLxhjmywBrs",91.000000,210,0,0,29,413,0,0,0,0
"wqjagcGnauyzDpErDpbbkazkbyEtncurydoLtxKxfsdpumABDbsBoAapIxuuxurBBmlkuDrvrpGdoaubJbtavHpuHKnqysHEJzEtEIzBcxBcKBcBcdavggzk",115.000000,2,0,0,0,2,0,473,0,0
