"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","h",500,40,100000,2626864,"wzcagcqkaFlywozmLsayuAbAbFFbkkydycptmjJlKxEpaDpjlbBsbnFIoKerfdddIyAuJuoyeserLmGJazwtpcBtBqBnArBBBBpBBBbqBFBBBBszvvvvxgab",0,21.81,17,12,12,116,21.59,3
"1000k","h",500,11,100000,2489956,"wtjagcnvudDvrtkouIyuoeqrdpzGElGEElffdnFyoEphqpcuurEBlaBpqqvvDBbfmauuKbmdDABIBBqBBxbBBxDBIBbBylpBBBbwfuBBBBnIBBIzvvvvxgmL",0,21.82,26,11,11,119,21.67,3
"100k","h",500,24,100000,2386469,"wijagcGwIICsmkaCrxIapHCyycurEEuoBomffdkxJcfskayyJJedAGAFILqAuebEcBryEkJpBucBlBqlBBBlEqBxBBBBBpABBJDBBBBmBtbBnBBzvvvvxgdD",71.8292,21.52,29,9,9,116,21.36,3
"100k","h",200,2,100000,987743,"wBjagcvrlFrAbcBxBzfrlFyxLcuopcucravxEvobbkkDFBBIovkoypBloDkbcboyGBtrBDBBodBBByJBuEAjBoBAlmBFBDIBDBwBvFFGDBjrfjrzvvvxvgID",0,21.6,29,4,4,117,21.6,3
"100k","h",500,22,100000,1754920,"wGjagcuALfftkaHdiuliCayGHAucyKfvusKuorfoByuuctyuBvEeknwyJpBBuFvrJjmeDftGBBEsDrBGcBBBBBtBBBBBsBEBDbGEABJIEBHBynxzvxvvvgIs",0,21.48,26,11,11,117,21.67,3
"8k","h",200,33,100000,952257,"wIjagcetastxAlkaHbkycDyAouuopcEmpBAbEJuBABGuDrBKAcBypeBBsKxBLuBDEBjynyqBBjnojKHBBBBEmBkGkDJtbdinmqKJdBaGHymBjBlzvvvvxgGK",20.7459,21.76,24,10,10,115,21.56,3
"10k","h",500,11,100000,28,"owjagcrcmHEeyrGxuAHaEDnyucuIoIEAGdffuEaIzsfuIKBfyuyscbspfonotcllBtBdJFEBIBmBLFpBlxBBpBBpuBBdwKJLtybwqBItcHrdzLdzvvvvxguI",0,21.7,15,16,16,118,21.7,3
"10k","h",200,26,100000,1096667,"wzcagcasujhBDJbHuvepcHBAycnwwAtcpiBpydjeoIqEIbyumqslaErJKBBtBBBwBvxBGBBBfxBxpIklmpABBEvkExEsxnBBFLeBlLdtGKBaCJBzvxvvvgab",0.408759,21.76,23,10,10,117,21.63,3
"10k","h",200,38,100000,1161903,"wxjarGetkrAdqyldmwkxdmyqycusomDwdfxbcaEorxGAacEBuecoxoIyxEAJaBLhcBxpoycLFptcgcBbBIBBBBBBwcsEBBBBBBjkBjAxsKLbEBBzvvvvxgDm",54.9763,21.81,22,11,11,116,21.42,3
"1000k","h",500,26,100000,2795617,"wljaccAdjpapthrreexCFwbuHdapnwdirwFoKHyucyuIgcfbiaBqJurIpqbGcFBkuurBJjIDyntuaFBBBfpBuBdLIeBBynfBBuBBGBdBwqBJqczzvvvvxgyu",48.8881,21.56,19,13,13,119,21.67,3
"8k","h",100,10,100000,577231,"wpjagcEbLHHbEIyHKlapuxyDycujoJucmGlfqsvbGkysqvBEmenLAxmvytLnGBrmpEcFbbuEAaABavbLBIroBBBBJJBBGwwBBxlBlBBnLBBBBuBzvvvvxgxj",64.8912,21.64,21,8,8,117,21.67,3
"100k","h",100,32,100000,591010,"wajalAnfrbdeCmbpBtDyLLGgcwBwypnyuirwcnyEwudKsmKgcerJBpByLDEBBBBelctBBIlneDjGmbwBlbBBBEnpBBmdEcBBqBlqBnBBBBBAxtBzvvvvxgmd",78.5786,21.77,30,14,14,118,21.66,3
"8k","h",500,31,100000,2256161,"wmjagcqFuanefCknvFvzHGFnycbAoruIBcrqDmGIAqoGLjGouGGApyFKueIxiuxrraBvBGDBDtrjBfIoAdlbvBrryBjBIpBBBbekBjoJmBsBBnmzvvvvxgnc",0.421818,21.63,19,8,8,116,21.61,3
"10k","h",500,17,100000,2842763,"wzjagcplnEzfBjbybLyEeIdroHmIKucznBkluaheucydeddEcFfwwurpyLyuEduncbrtxjBBEpKBBFBeaLIkourBykEBpoBBBAnBmJJBfBtBtqAzvvvvxgab",0,21.51,16,17,17,118,21.65,3
"8k","h",500,44,100000,2351660,"wujagcojhznGxrArInyyEscfyuubpcuIdrfKKeolxwEByBjlmsjABJBvvGfeBBsGLByAysErjBBpBBtrmvyBvDLpajqJctLBEluBBnBBGisnClizvvvvxgHG",14.1956,21.71,19,11,11,117,21.67,3
"10k","h",500,17,100000,2842763,"wtjapLhLqBeywwagcnExbbfojBEkaGacreuwlGlfjLBjItyokKuyuKrbEAJyburDKuDnLbpBBpfBoBJeBcqGwurBjbkBIwdpCaBLjBBqBBmBBExzvvvvxgqg",0,21.56,20,15,15,119,21.62,3
"1000k","h",100,18,100000,504726,"xwBjsLjFteBmjadyqpuItclyycuobDuHcgcbEIDrsEuwIBLLrjekLdxbxxBBBIBIIGBJBBswJuqBBBxjBuwBbBBDsDzBBEBIBBEELnnJjmIcqBkzvvvvxgLp",0,21.5,27,10,10,120,21.67,3
"8k","h",500,14,100000,2402533,"wpjagcGoALccBqbJrGucCjayrnpsDFFBIuKyJuuFLDrJsmmAIBvBAdetqspqBFKtnddIafjBaBiEjvarLccBBcBDepqBsmBFpvBBDDBfBsvtytBzvvvvxgeq",11.2913,21.56,23,13,13,117,21.6,3
"8k","h",500,22,100000,2677640,"JLuzyDEwcCnmjbyGDbwyjfLAycuEjaucbJAuoEpbcIHaKqAyBKJtmDLcJqelgcydqqvjBvFtrpynBwpnuBrBBBAaBBoBxxbIEsBIBBBBBBvratEzvxvvvguk",0,21.59,21,8,8,116,21.65,3
"10k","h",200,12,100000,818379,"wtjagcxfzLkszbsIyhehDBucycuopcmyIuoayoLIEbuDtrwnmkpDIcIIEqKDBquEuGIJJajLEEtkmytrKmBoFBBtBBsBIBFIBBDEpBfwnABBeBBzvvvvxgLG",39.3547,21.46,21,10,10,119,21.64,3
"1000k","h",100,18,100000,504726,"LyBDHbwFocIxjadDqfuIowlyycubbbuHcgcjEIDrnEuwIoLirjykLLBkxAboBGBwInBABLswJndBBlbdBDwAbBBLwBnBBEBBBBEEBnqJBmBIqBkzvvvvxgLH",0,21.85,26,11,11,117,21.51,3
