pop,repl,genome,scf
1,0,wzcagcqpjbEzcitczzpBFFxyycucDubFdbBscrpBdBfbuqbvdEvnbbwlaBBDaBBBloBkFmFosubBcrBafBvBBBpswBAyvBBBFoBBvBBuBBpwpBuvvpDqxgab,0.000000
1,0,wzcagcDAqlEiDpemblczBFlyycudrudbBnatarpkfadwpBbvbcvnqfbkdBBBDBbwvwBBFmBcsuevBrdxyBvBBBotBopDvBumFnFBfBBBBBqBBBBvvfgtxgab,0.000000
1,0,wzcagcDuFlEiDpembfczBFlyycudrudbBnatarpkfadwkBbvbcvnqfokbBBBDBbwvwBrFmBcsuevBrdxABvBBBbtBupDvBumFnFBvBBBaBqBBBBvvfgtxgab,0.000000
1,0,wzcagcrnFsEtBpzyElwzBFayycubEubbfuaBarpxcddtkBkvecvnbfckpBBBBdBBvwBBFpBdBuecBrdDfDvBBmkBBBbDvBumFBFBvByBBDcBBBBvvfugxgab,4.010000
1,0,wzcagcADqolmsiftxzBFBFByycuopuBtcAucBrbBudBubDcvtqvppBbdFEBwAdDnvladFtBBeEoBDrBysBvBBBbBomywBuBBFBBBvBBBdnBvuwcvvfgwxFab,2.900000
1,0,wzcagcuEyitjAndAnzfFpFcyycunaudecwicdrBkbDaBBytvpBvnwcEfaDBxBBevvBxBFtdxBbABarBBBovByBbBnpBuvopBFxBBvABBBuyoBBpvvfgpxkab,4.130000
1,0,wzcagcuEyitjAoqAizzFsFcyycunaudiiwicdrBkblaBBytvpBvnwcEfaDBxBBevvaxBFtdxBbABarBBBdvByBbBDpBxvoBBFnBBvABBBuyxBBpvvfgpxkab,4.090000
1,0,wzcagcuEuitjAodAizfFpFcxycunaudicwicdrBkbDaBBytvpBvnwcEfaDBFBBavvaxBFtdxBbABarBBBdvByBbBDpBxvoBBFnBpvABBBffxEBpvvfgrxdab,0.000000
1,0,wzcagcawbktuswAkizsFrFcyycunauBecEFeqrBDbxsBBytvpBvnfchmaDBnBBepvxkBFtqBenxdarBBBuvuxBbBnBBuvocDcxBBvBpBpBykBBpvvfgpxjab,4.250000
1,0,wzcagcujsbzzcdfszBqFqFfyycuopudBDwAoBrApyyfbhpqvBxvdbBlBDxqnwBewvwkBdtbxebmAirABABvBtBmsxwBevBunFDBBvmlBtaktsaBvvfgkxdab,3.180000
1,0,wzcagcmunspaobfmznBFqFbyycucAudBcwDbBrApmBfbmpqvnBvfmndBDxdBwBeivwkBFtbAeblAirBmDnvppBAswBkevBukFDBBvmdBteBsstBtvfgsxcab,0.000000
1,0,wzcagcdunBpaoxfmznBFqFfyycucAudBiwDbBrApkBfbmpqvnBvfmndBDxcfwBeivwkBFtbAeblAirBmDevpoBAswBkevBudFDBBvmdBtaBsskBvvfgkxcab,4.000000
1,0,wzcagcjbjybAioEDAvrfmznwycuqqulaAEoebrpFEBEmFpFvcfDnbewkEenDcoBlvqknauFrbBBwArEFybvqcqppvBfkvBBBumlBAfBerxtFwDamvlBxxgab,2.630000
1,0,wzcagcrdqBBpEprkwvnrnFzyycuBdurfAwBmerBFBBusupDvEfDnBBFaBeeBwEBBvwwoauBFfeiqxrqBFBvABlBBvpytvuBcwssBAeuakbBFFbcvvkByxgab,3.810000
1,0,wzcagjqBajmybBEudvzyCzqyycurquxaxdyaerAbmBEfwpBveccnbqFdwoBBBBBBvqBFauFFdcaBBruBFpvleCaBvBdAvyBBBsaBBcBFApBFpybvvcBcngab,0.000000
1,0,wzcagcdexjtybBEudvzyCzzyycurquxaBdyaerBlmBEfqpBveAcsbqFdgoBBBBBBvqBdCuFFdcaBBrABFpvleCaBvBdAvyBBBsaBBcBFqpBFCybvvcBcngab,4.130000
1,0,wsjagcxrkmccpFfCssqnCzyBycudaFbucmkydDyBBwwskpbvuuadeabBBcopaejxvBfecuBFBadcxrtFBBvDexBqvBqBvxbBsaBBEnbBdBdByalvvBtesgmo,4.110000
1,0,wsjagcxrkmccpFfCssqnCzyBycudxFbucmkydyyBBwmskpbvuuadeabBEcopaejxvBBecuBFBadcxrtFBBvDexBqvBqBvxbBsaBBEnbBdBdByayvvBpesgmo,2.820000
1,0,wsjagcxrkmccpFfCssqnCzyBycudaFbucmkydyyBBwmskpkvuuadeabBBcopaejxvBBesuBFBadcxrtFBBvDexBqvAqBvxbBsaBBEnyBdxdByalvvBpAsgmz,4.230000
1,0,wcjagcArbpccpFcxbnzqtzyBycudxFbucwxaddyBDuABkpBvuuakeAcBBcbpawxcvBkecuFcoaocBrtFBBvDexBkvBBBvmtBsyBBEtbBBuDlpAdvvBBBsgai,3.770000
1,0,wjjagcoApbiadceahpcnbzyFyculauoypwpabrexBBBExplvAfaBAaFFBehfxbqnvfkbBuBbnauaBrBcaBvmkBBnvBBFvmABllBdEoBBuaBBbtBnvxBBvgBC,4.260000
1,0,wajagcAanhxyAyyjddaBnzyBycuDauoBpqjaerBDBbbflpbvubaobdFBBDeDBxwivBeBBubFnaDcArBFaBvnfBBnvBymvBbFuyBBEBmBquuByDBvvtBBBgkj,0.000000
1,0,wajagclanhryACzjEdaBnzyBycuqauoBpqyaerBDBDbfBpbvubaobdFBBDerBxwcvBedBubfnaDcBrBFaBvnwBBnvBtpvBBFutBBEqmBquuByDBvvfBBBgkj,2.830000
1,0,wzcagcszFkEtClxolzfBBFyyycuBduBkceacArpddsuBapbvdbvnxfoeqBkBBbwBvBBkFmsdFuboormsaBvDeBxFBBpBvBBBFuBBvmBBBByBBnnvvfuyxgab,4.460000
1,0,wzcagcsmFkEbalxAlzpBBFyAycuBduBkceawArpBdsuBapbvdbvnbfoeqBkBBbBBvBBkFmsdEuboArmBaBvDeBmFBBpBvBBBFuBBvmBBBBdBBnuvvfuyxgab,4.070000
1,0,wzcagcsmFkEbalxAlzpBBFyAycuBduBkceawArpBdsuBapbvdbvnbfoeqBkBBbBBvBBkFmsdEuboArmsaBvDeBmFBBpBvBBBFuBBvmBBBBdBBnuvvfuyxgab,4.070000
1,0,wzcagczwFrEjurkupzDBBFwyycufDudfcqDscrpBbmkbBBbvDkvnbbqqfBBfdBBBvoftFmFosuiBcrDbpBvcBBbsmBlbvBbBFBBBvBwBBowlpBBvvfBwxgab,4.160000
1,0,wzcagcppobEzcitczzpBwFxyycucDubFdbBscrpBxBfbuBeFdEvnbbAlaBBDBBBBvoBkFmFosubBcrBafBlBBBpuABAyvBBdFoBBvlBnBBpBpBBvvpaqogab,3.630000
1,0,wzcagcDuFlEiDpemblczBFlyycuorudbBnatarpkfadwkBbvbcvnqfokbBBBDBbwvwBrFmBcsuevBrdxyBvBBBbtBupDvBumFnFBvBBBBBqBBBBvvfgtxgab,4.000000
1,0,wzcagcrsFsEtBpzyElwzBFayycubEubbfuaBarpxcddtkBbvecvnbfckpBBBBBBBvwBBFpBdsuecBrdDfDvCBpkBBBbDvBumFBFBvByBBDcBBBBvvfugxgab,4.490000
1,0,wzcagcyjFyEunwmnwzBFBFsyycubxuFnciBidrukFvfxBpbvenvnBqcwebkkxoBBBBBBFtbxuaDBarbBBwvwBEBuqtpBvBBBBBcBvFyBbBoBbwBvvfgfixab,3.230000
1,0,wzcagcyjFyEDnwbnwzBFBFsyycubFuFnciBiirukFvDxBpbvenvnBqcwebkkxoBBBBBBFtbeuaDBartBBlvwBEBuqtpBvBEBBBBBvBBBbBoBbgBvvfgfixab,0.000000
1,0,wzcagcudqplmuiftxzBFBFByycuopuBCcfBcBrbBndBueapvtAvptBpdehBbcdDnvlaAFtdBeroBxrBoqBvBBBoypayptDpBFBBBvBBodsBvuwcvvfgwxxab,4.040000
1,0,wzcagcADqolmsiftxzBFBFByycuopuBtcAucBrbBudBubDcvtqvppBbdFEBwAdDnvladFtBBeEoBDrBysBvBBBbBAmywBuBBFBBBvBBBdnBvuwcvvfgwxFab,4.140000
1,0,wzcagcnDaopmsiftmzBFBFByycuopuxtcwucBrbBudBubDcvtqvppBbdFEBwAdDnveadFtBBehoBDrByqBvBBBbBpmywBuBBFBBBvBBBonBvuwcvvfgwxFab,4.110000
1,0,wzcagcawlktuswfkpzsFbFcyycanauxecsFedrBDcxwBBxtvpBvnfctmaDBoBBemvxkBFtqBebxdarBBBuvpxBbBnBBuvocDeyBBvABBpBykBBpvvfgpxjab,4.240000
1,0,wzcagcawaktuswqkizsFrFcyycunauxecEFeqrBDbxsBBADvpBvnfctmaDBnBBepvxkBFtqBebxdarBBBuvuxBbBnBBdvocDcxBBvBBBpBykBBpvvfgmxjab,4.420000
1,0,wzcagcumsbpneefmzBBFqFfyycuopudBDbAoBrApyApeypqvBxvdbBdBDdbnAwemvwkBFtbDebzAirABABvBtBksfwBevBukFDBBvmlBtakttkBvvfgwxdab,4.060000
1,0,wzhagcumsbzzcxfszBqFqFfyycuobudBDwAoBrApypfbhpqvBxvdbBlBDxqnwBeyvwkBFtbxebmAirABABvBtBbfxwBevBunFyBBvmlBtakqsaBvvfgwxtab,0.000000
1,0,wzcagcdunspaoxfmznBFqFfyycucAudBcwDbBrApmBfbmpqvnBvfmndBDxdfwBeivwkBFtbAeblAirBmDnvppBAswBkevBukFDBBvmdBtaBsskBvvfgkxcab,4.000000
1,0,wzcagctzyspzbxfmzBBFqFfyycucAudBcwDbBrApyBfbmpovnDvdbobBexkeFBAyvwaBFtbAebliirAlpnvptofsfwkevBukFDBuvxdBtatwskqvvfgixzab,4.000000
1,0,wzcagcjbjybAioEDAvrfmznyycuqqulaAEoebrpFEBEmFpFvcffnfewkEenDcoBlvqknauFrbBBwArEFybaqcqppvBfkvBBBumlBAfBerxtFwDamvlBxxgab,2.180000
