res_ab,pop,mut,repl,upd,dominant_scf,peak_by_dominant,entropy
1000k,100,h,30,100000,7.700000,-1,101.480875
1000k,100,h,31,100000,3.030000,0,104.627826
1000k,100,h,32,100000,21.210000,3,84.791802
1000k,100,h,33,100000,15.260000,-1,77.325954
1000k,100,h,34,100000,18.010000,2,60.121933
1000k,100,h,35,100000,8.850000,-1,72.237041
1000k,100,h,36,100000,2.170000,-1,81.062203
1000k,100,h,37,100000,17.970000,2,96.524844
1000k,100,h,38,100000,7.960000,-1,95.471131
1000k,100,h,39,100000,16.100000,-1,73.892410
1000k,100,h,40,100000,5.610000,-1,87.982356
1000k,100,h,41,100000,9.100000,-1,93.127124
1000k,100,h,42,100000,8.740000,-1,97.907758
1000k,100,h,43,100000,3.600000,0,75.603669
1000k,100,h,44,100000,18.380000,2,88.876222
1000k,100,h,45,100000,17.870000,2,87.959271
1000k,100,h,46,100000,13.300000,-1,73.993708
1000k,100,h,47,100000,17.880000,2,86.729196
1000k,100,h,48,100000,18.060000,2,97.571520
1000k,100,h,49,100000,10.280000,1,90.545121
8k,200,h,0,100000,0.000000,-1,149.150423
8k,200,h,2,100000,20.630000,3,122.551094
8k,200,h,3,100000,3.180000,0,129.358082
8k,200,h,4,100000,17.830000,2,152.608793
8k,200,h,5,100000,20.470000,-1,158.561511
8k,200,h,6,100000,17.520000,2,168.853097
8k,200,h,7,100000,10.800000,1,146.562329
8k,200,h,10,100000,13.280000,-1,144.619731
8k,200,h,11,100000,20.080000,-1,153.706884
8k,200,h,12,100000,4.890000,0,151.518285
8k,200,h,13,100000,11.280000,1,138.694913
8k,200,h,14,100000,4.000000,0,129.243144
8k,200,h,15,100000,4.130000,0,114.585779
8k,200,h,16,100000,7.900000,-1,177.171127
8k,200,h,17,100000,18.350000,2,129.024492
8k,200,h,18,100000,18.290000,2,126.348454
8k,200,h,20,100000,2.710000,0,132.580266
8k,200,h,21,100000,18.920000,2,147.504132
8k,200,h,22,100000,4.000000,0,189.378952
8k,200,h,23,100000,22.340000,3,155.219454
8k,200,h,24,100000,17.940000,2,168.496618
8k,200,h,26,100000,8.740000,-1,169.731900
8k,200,h,27,100000,15.540000,-1,162.900671
8k,200,h,28,100000,8.940000,-1,170.497379
8k,200,h,29,100000,5.130000,-1,180.725846
8k,200,h,30,100000,20.220000,-1,150.350173
8k,200,h,31,100000,6.290000,-1,171.011748
8k,200,h,32,100000,5.200000,-1,179.748488
8k,200,h,33,100000,22.070000,3,146.082029
8k,200,h,35,100000,16.340000,-1,146.009609
8k,200,h,36,100000,21.580000,3,141.167757
8k,200,h,37,100000,8.900000,-1,181.840276
8k,200,h,39,100000,2.120000,-1,127.208257
8k,200,h,40,100000,7.360000,-1,163.305613
8k,200,h,41,100000,12.980000,-1,180.267800
8k,200,h,42,100000,7.590000,-1,174.757262
8k,200,h,43,100000,21.660000,3,140.794982
8k,200,h,44,100000,10.180000,1,191.149906
8k,200,h,45,100000,3.290000,0,161.285375
8k,200,h,46,100000,2.650000,0,114.772664
8k,200,h,47,100000,3.330000,0,150.450202
8k,200,h,48,100000,20.460000,-1,150.412614
8k,200,h,49,100000,14.010000,-1,134.247258
10k,200,h,0,100000,18.360000,2,84.155985
10k,200,h,1,100000,3.930000,0,118.795332
10k,200,h,2,100000,10.590000,1,191.965044
10k,200,h,3,100000,20.990000,3,119.274847
10k,200,h,4,100000,18.370000,2,144.182681
10k,200,h,5,100000,4.120000,0,148.643436
10k,200,h,6,100000,3.780000,0,130.480401
10k,200,h,7,100000,8.760000,-1,183.336457
10k,200,h,8,100000,3.920000,0,137.880720
10k,200,h,9,100000,7.710000,-1,171.919362
10k,200,h,10,100000,22.090000,3,129.536317
10k,200,h,11,100000,15.050000,-1,151.826007
10k,200,h,12,100000,17.750000,2,155.107233
10k,200,h,13,100000,0.000000,-1,150.402109
10k,200,h,14,100000,21.940000,3,156.906956
10k,200,h,15,100000,8.390000,-1,185.094579
10k,200,h,16,100000,10.810000,1,144.240415
10k,200,h,17,100000,5.740000,-1,137.601773
10k,200,h,18,100000,12.720000,-1,165.296162
10k,200,h,19,100000,8.910000,-1,176.243581
10k,200,h,20,100000,18.610000,2,127.447067
10k,200,h,21,100000,3.930000,0,156.636758
10k,200,h,22,100000,17.810000,2,159.949625
10k,200,h,23,100000,22.410000,3,168.558388
10k,200,h,24,100000,4.110000,0,121.952012
10k,200,h,25,100000,10.370000,1,192.174905
10k,200,h,26,100000,22.140000,3,161.445843
