"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"1000k","l",200,33,100000,849326,"wzcagcGtlbEvyCBuEvdAioyyycuqocuycowAAEAAqGxarBBDBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",0,21.38,38,2,2,112,21.23,4
"100k","l",500,41,100000,2822245,"wzcagcjCAaEEjBxkBEAAqpByycuopcuccBCBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",0,21.49,49,4,4,111,21.4,4
"8k","l",200,6,100000,1081394,"wzcagcEjDJEqyiDAylaAEoryyauopcuyBAuGAsBBtbBBwdDGuuABqqqtsrBxBBBAdBBjBBBBApuBdIuBbKJBErBLBBBBBBBBBLBBBBBBByycudDzvvvvxgab",0,21.32,40,7,7,113,21.24,4
"100k","l",500,41,100000,2822245,"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIByotyBBBBBABBtBrBBBBBtBsBBABBycdcyCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",62.9032,21.35,48,6,6,111,21.36,4
"10k","l",500,43,100000,1851396,"wmzagcckraEKxyntscpAezjnycuopcJyBAABIIBxBGBpaGGfBLJJuGuKJBrlBLBBBpABoBABEBAoseCpEBIBGoxBuBAtowryBBBAEBfBABBBBBBzvvvvxgBb",18.4941,21.34,32,8,8,111,21.31,4
"8k","l",200,3,100000,785590,"wzcagcDbrBEdtpqItKuADieyycuopcuroBByJkfBuBptnybABbtfEBoytryEAnAEBulBByejdBpscBpBBBwBBtBoeBLDBbBnrBdyBBBBBmoBBBIzvvvvxgab",57.6044,21.49,33,10,10,116,21.05,4
"10k","l",500,43,100000,1851396,"wzzagcaDsAEKcwhlfzprcjBnycuopcoyBAABIqcGBABaAIBfADaJuquBqBrBBABKAjABBypBEBGAJlmpEBIBeoJBuBItowryBBBsEprByBBBBBBzvvvvxgtb",17.5564,21.44,31,5,5,110,21.1,4
"1000k","l",200,5,100000,876618,"wzcagcrDimEiapjCAccBjBByycuIucGyKIBBBnBBBpBBEBbmBBBnaaBIBkBBBBBEBBBBBoBBBbkBBBBBBABBBBBBBBBJBsBABBBucBBBBBbBEBqzvvvvxgab",54.254,21.33,59,1,1,117,21.34,4
"10k","l",500,43,100000,1851396,"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuquBqBrBBABBALABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",20.2673,21.48,32,4,4,111,20.94,4
"10k","l",200,17,100000,918152,"wzcagcwtjpEjhaiamaiEAEGyycuJroucBwDuExmuBBcdBxJDkypABAIqBBAutrBadqocjjyjsBaBBwBdBrBBBABGjwBBBByBxBBBoxBBuBnBBBBzvvvvxgab",34.3985,21.44,34,3,3,115,21.37,4
"100k","l",500,41,100000,2822245,"wzcagcjCAfEEjBkkpEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBqBBtBsBBABBycdKcCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",43.3278,21.36,46,7,7,111,21.36,4
"10k","l",500,41,100000,2711582,"wzcagcjLxuEyajGInomAHwbKycurucaEBtdBxydnjBmBBdauGyudwBBKABaBuwGErxByEnGaBqIBBBxwGBBIBBBBBDuBdDBABsccBBBkBBBBDlBzvvvvxgab",14.7872,21.35,35,8,8,117,21.34,4
"100k","l",500,41,100000,2822245,"wzcagcGBbbEECBDkaEnAAAByycuopcucJBebwdylByBtyBBBBBJABtBrBBBBBBxsBBABBycrkcCIbABBaqyycfoGeDCBBAaBBBABByKBBBBABEBzvvvvxgab",34.839,21.41,43,5,5,111,21.46,4
"100k","l",500,41,100000,2822245,"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBalBBABBynbBBBDBBBBBBEBzvvvvxgab",44.1263,21.41,47,6,6,111,21.48,4
