genome,scf,scf_no_int_bio
wzcagcCIJLEyczbCBvvHaayyycuopcuyyoqBbvawAJvLJvuJBrBmloBByBjABBAGBEBBxBvforBtcBjdBBEBBBBBBBBBBmxBBBBBxBBBBEywBBBzvvhvxgab,17.950000,17.390000
wzcagciqfLEBkwavaGaApblyycuwucByLEABnBBxBsBBmvvmBBAIpBAAwBBBABBAaEJBqbBsBBurvByBbEvBBBvBBBBGBBBBBBBBBqsBwcBByBBzvvrvxgab,17.970000,17.640000
wzcagcxExDErHCCvijAxzjywycuoucByynEAAmaBtvBAABGrBjBvBlpBBBuajmGsABBrBBGBBwsaBBBwuBBvrByBnxBBBEBIBBBnBABmaBmvBBvzvvvKxgab,18.130000,0.000000
wzcagcpIJLEyjzbsmvvBaAtyycuopcuyyoqBbvaKDJvLJvuJBrBBBsBByBeABBBGBEBBxBvcArBtcBjBBBEBBBBBBBBBBmBBBBBBJBABBEBwBBBzvvhvxgab,17.980000,17.510000
wzcagcwyxjEABrqmIJuAJyuuyuuopcuycEGGvGIoeducIEBBrABfvyBBBwBBBdBGBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBxBzvvvcxgab,17.970000,17.750000
wfjagcIHCyEBlBGdmvuGAJwyycuopcuryBBBBBBBAuBfBpbBIBBDBLgBBBwKBBnBGBBBBvBBBBeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxgJb,17.980000,17.700000
wzcagcxExDErHCCvijAxzjywycuoucByynEAAmaBtvBAABGrBjBvBlpBBBuajmGsABBrBBGBBwsaBBBwuBBvrjyBnxBBBEBIBBBnBABmaBmvBBvzvvvKxgab,18.020000,0.000000
wzjagcsczIEGnkvvbBcCyBbyycuoucoyyBBBvKBqauBBfxABBbvoaBBBBuBBBBBlcAjfcBbrBBqKpuArBBBKBBBBBBBBEBBBtBBBlBBBBBBEBBEzvvfaxgib,18.090000,17.950000
wzcagcptavEnDxHqfffCjbqyycuopcudIBadBEbvcxBaAdcqojrBvBBAEDEBxBBoyByBAABBBttrsByqAscBBBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab,18.110000,17.560000
wzcagcDvEaExoDBcGHBcpvEyycucpaucABBpbLBqBBBBBBBIBBBBnurBBBBBBBBBBBBvBByBBBBBvBBBBBmEBBBBJBlBBBBnvBBBBBBeBBsyBvBzvvvCxgab,17.970000,0.000000
wzcagcCtCtErqplwCKcpaEAyycuoucByBpBGEytnBxrBIBBBBBeKBwABDsBpBHABBJBmlurAucBIynBABBBABBBBubBBjcBEeGyBwBBbBByczmzvvfcaxgab,18.110000,18.110000
wzcagcAABaEvfjbIbzfAvnyyycuefruycBasaAvBaidfEEIAqBaJABLyctJwxEBavGowoEbxwpovjrBBBBBBBBBBBnBmBBBBpJBGqBqyBBBBwBvzvvvCxgab,18.060000,0.000000
wzcagcbvamEvcpEfvjLbtqdyycuopcucBIxBAEBDyBBqleBDocbwBDLqkAqBkJBytrBLBBBLvBwyBIBBAAABvEBsBBqJdBBBBBdfyyBpnBbBvtyzvvvaxgab,18.120000,17.450000
wzcagcwyxjEAirqjIJLAJyuuyuuopcuycEGGvjIoeKucIEBBrBBfvyBBBwBBbBBGBvBpcBvBIBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab,18.130000,17.770000
wzcagcwyxjEABrqmIJuAJyuuyuuopcuycEGGvGIoeducIEBBrABfvyBBBwBBBdBGBvBpcBvBBBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab,17.990000,17.370000
wzcagcHtdDEJtavADbzaHEoyycuopcucBBEBBBBBBBBBBBABBBBvykBBBBALBBvDvBBBBvwBBBoBBBBBBvEBBBynBBBtBBayBtABrBBEFBBBBBBzvvHvxgab,18.010000,17.820000
wqjagcwEcuElBmvqAAvfpvByycuoebuycxAoJfAEvGDbcrbBkemBBpByBBvjBdBbBqABBBGBfpaEBBvuBBwucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab,18.070000,17.520000
wzcagcurdAEjyuovoDrvpcmpyuuopcuycGqIvoBaBaerpBBBBBoBBedBbBBBBBvBKyjBvBBBBBBABBBvEBBBBdxEIJBBABBJEAAsdywkBDpBBBBzvvvGxgab,18.130000,17.170000
wnjagciqddEIyiAofwfjpAdyycuLwcucByfdIyBBEKBjBAuwsBvcmABoBarByBBBBBBvALJBBBlvBBvvsGBBBBEJfntBBBBvpoqBJBEByBqGBBnzvvAvxgab,18.080000,17.580000
