genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wzzagcaDsAEKcwhlfzprcjBnycuopcoyBAABIqcGBABaAIBfADaJuquBqBrBBABKAjABBypBEBGAJlmpEBIBeoJBuBItowryBBBsEprByBBBBBBzvvvvxgtb",115.000000,8,0,0,0,12,0,11,0,0
"wzcagcrDimEiapjCAccBjBByycuIucGyKIBBBnBBBpBBEBbmBBBnaaBIBkBBBBBEBBBBBoBBBbkBBBBBBABBBBBBBBBJBsBABBBucBBBBBbBEBqzvvvvxgab",118.000000,0,1,0,47,0,7,0,0,0
"wzzagcaDsAEKcwhlfGprckBnycuopcoyBAABIqcGBABaxIBfADaJuquBqBrBBABBALABBypBEBGAJlkpEBIBqoJBuBItowryBBBsEpyByBBBBBBzvvvvxgtb",116.000000,8,0,0,0,13,0,11,0,0
"wzcagcwtjpEjhaiamaiEAEGyycuJroucBwDuExmuBBcdBxJDkypABAIqBBAutrBadqocjjyjsBaBBwBdBrBBBABGjwBBBByBxBBBoxBBuBnBBBBzvvvvxgab",116.000000,0,0,0,8,0,0,0,20,0
"wzcagcjCAfEEjBkkpEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBqBBtBsBBABBycdKcCBrKABaAAfyCIBBaCBBABBynbBBBDBBBBBBEBzvvvvxgab",118.000000,0,1,27,0,0,11,0,0,0
"wzcagcjLxuEyajGInomAHwbKycurucaEBtdBxydnjBmBBdauGyudwBBKABaBuwGErxByEnGaBqIBBBxwGBBIBBBBBDuBdDBABsccBBBkBBBBDlBzvvvvxgab",118.000000,2,0,0,0,0,8,0,0,0
"wzcagcGBbbEECBDkaEnAAAByycuopcucJBebwdylByBtyBBBBBJABtBrBBBBBBxsBBABBycrkcCIbABBaqyycfoGeDCBBAaBBBABByKBBBBABEBzvvvvxgab",118.000000,0,1,10,0,0,12,0,0,0
"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBalBBABBynbBBBDBBBBBBEBzvvvvxgab",118.000000,0,1,27,0,0,12,0,0,0
"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBpBBBBEBzvvvvxgab",118.000000,0,1,26,0,0,12,0,0,0
"wzcagclJwAEmmrCyGwxdGEJyycuowAurBBBBtBBBBBurBEjaoBrABBbBBABBABBBpynBytrBfyeGswpIsBrEBnuBBBBBBBBBBBBBBrBBBBBBBBbzvvvvxgab",118.000000,0,0,0,21,0,0,0,15,8
"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGLBBABqBAtBBepjkCAEuBGeKBnBGoEBBBemeABmDtBArBBBfBBBebBJBoBByfBBBBLbBBBBxaBzvvvvxgCb",115.000000,0,1,0,18,0,19,0,0,0
"wzzagcawDAEKKyklfDprckcnycuopcoyBeABaecGBABuyABfJjaJuquBqorGBABqpyABBtpBEBBpKempEBIBeoJBuBItowryBBBDEprByBGBBBBzvvvvxgtb",115.000000,6,0,0,1,12,0,10,0,0
"wzcagccjxdEywaDynomAwqeKycurucqEBufBbyufjBmpBdwGjyuBoBBAfBaBuABErxByEnLDBJdBBBAcJBBadcBBBeuBdDBLBsccBBBBBBBBBsBzvvvvxgab",117.000000,1,1,0,10,12,10,0,0,0
"wzcagcofamEhhtfxuqiAeEJyycuopcujBqAjGBBBBoAdBAaBIaIBBErjcjxExBABBjnBbBBDBBBBpABBqArBBAJBLfLBGfeerBBBBIBJBJiyztszvvvvxgab",114.000000,0,9,23,0,0,0,0,0,0
"wzzagcaDsBEKcyhlfAprckBnycuopcoyBAABIqjGBABaAIBfADaJuquBaBrBBABBAjABBypBEBeAJsmpEBxBtpJBuBItowryBBBDEpJByBBBBBBzvvvvxgtb",116.000000,7,0,0,0,14,0,11,0,0
"wzjagceobjEbhmyyIkqzwpnAycuopcGytGAwBEwuuqqcfpsfryALaBuAesoorAwuAwdBBBaBBJBbByByBpBEBuBrBBByBtBBBEBBBBBAGyBJpLBzvvvvxgab",116.000000,4,0,1,12,2,14,0,0,0
"wzcagcGtlbEvyCBuEvdAiotyycdqocuycowAAEAAqGxarBjBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",117.000000,0,17,0,0,0,0,0,0,0
"wzcagcuIdHEyqztBxvHxdlqyycuopcuBBoBvArjBuBjEEjBBpfyLeAodvnumjBnJdIJBBBEkBBkBwmvBABwlGBoyBtyfJdBotrBGBBBBBBBBBGBzvvvvxgab",115.000000,0,3,17,0,0,12,0,0,0
